case,n,status,D_m,q,covered,true_source_contained
77,3,bounded,40.348378014901876,1.000000000000004,True,True
77,5,bounded,34.132603511756336,1.0,True,True
77,8,bounded,8.592787604958351,1.011575557997897,False,True
77,12,bounded,8.592787604958238,1.0115755579979178,False,True
78,2,bounded,210.3583868912689,1.0000000000000004,True,True
78,3,bounded,79.10710085449048,1.0,True,True
78,5,bounded,35.252768225599524,1.000000000000003,True,True
78,8,bounded,25.777486329588235,1.0,True,True
78,12,bounded,13.255005430259033,1.0,True,True
79,2,bounded,40.88217980611207,1.000000000000006,True,True
79,3,bounded,15.467809148422695,1.0000000000000138,True,True
79,5,bounded,5.806586227096977,1.0349115396256907,False,True
79,8,bounded,4.391484437671881,1.0007410459535706,False,True
79,12,bounded,3.959438914821195,1.0007410459535506,False,True
80,2,bounded,63.34784905891121,1.0000000000000018,True,True
80,3,bounded,41.70310758575151,1.0000000000000018,True,True
80,5,bounded,22.216359026860207,1.000000000000002,True,True
80,8,bounded,14.445992102644444,1.0000000000000002,True,True
80,12,bounded,10.469837040388455,1.0007720783396967,False,True
81,2,bounded,37.93361270282573,1.000000000000003,True,True
81,3,bounded,36.158525749026474,1.0000000000000024,True,True
81,5,bounded,9.571504545394383,1.026037138307056,False,True
81,8,bounded,7.042457562058945,1.000000000000007,True,True
81,12,bounded,7.042457562059199,1.0000000000000142,True,True
82,2,bounded,113.23290227640213,1.0,True,True
82,3,bounded,56.27277789965484,1.0000000000000002,True,True
82,5,bounded,46.330974634577494,1.0,True,True
82,8,bounded,11.10985829365681,1.0000000000000007,True,True
82,12,bounded,1.765565399859659,1.0048436958906792,False,True
83,2,bounded,38.33654914010398,1.0000000000000022,True,True
83,3,bounded,14.92354764585573,1.0000000000000038,True,True
83,5,bounded,9.420777065105396,1.0019027009707526,False,True
83,8,bounded,8.081468295573321,1.003264992227536,False,True
83,12,bounded,8.081468295573472,1.0032649922275254,False,True
84,2,bounded,65.29673895483714,1.0,True,True
84,3,bounded,24.27170889669241,1.0000000000000089,True,True
84,5,bounded,10.899396898554802,1.0,True,True
84,8,bounded,5.518107262265558,1.0006826669632574,False,True
84,12,bounded,4.678798998343126,1.000000000000045,True,True
85,2,bounded,30.23444090115032,1.000000000000005,True,True
85,3,bounded,22.021963554529265,1.0000000000000038,True,True
85,5,bounded,10.804006349074951,1.0000000000000189,True,True
85,8,bounded,2.569258639442542,1.0,True,True
85,12,bounded,2.458947526333834,1.0001314886074693,False,True
86,2,bounded,74.00003299164229,1.0000000000000009,True,True
86,3,bounded,42.34173293869187,1.0000000000000018,True,True
86,5,bounded,23.686844932700378,1.0000000000000042,True,True
86,8,bounded,7.551417728322156,1.0000000000000104,True,True
86,12,bounded,6.84899469163405,1.000000000000012,True,True
87,2,bounded,98.49007294357794,1.0000000000000002,True,True
87,3,bounded,40.00015076783888,1.0,True,True
87,5,bounded,40.00015076783909,1.0000000000000053,True,True
87,8,bounded,19.91103874098182,1.0,True,True
87,12,bounded,4.040568373750613,1.006751221734765,False,True
88,2,bounded,69.97137441184515,1.0,True,True
88,3,bounded,32.546129815969486,1.0941192422310204,False,True
88,5,bounded,27.56028697066789,1.0000000000000002,True,True
88,8,bounded,5.7933535487127825,1.0000000000000036,True,True
88,12,bounded,5.793353548712965,1.0,True,True
89,2,bounded,384.66419684077505,1.0,True,True
89,3,bounded,21.627756497872056,1.0,True,True
89,5,bounded,18.345350317531974,1.003919948278789,False,True
89,8,bounded,17.50457096291563,1.0,True,True
89,12,bounded,10.767351348437145,1.00007391128738,False,True
90,2,bounded,216.2807552881074,1.0,True,True
90,3,bounded,36.99508149571373,1.0,True,True
